"Basin","split","GenAI-TFs_NSE","GenAI-TFs_KGE","Default-mHM-TFs_NSE","Default-mHM-TFs_KGE","LSTM_NSE","LSTM_KGE"
9316155,"Training",0.464181792666745,0.762659385650462,0.801683801179806,0.874184336658151,0.72181898355484,0.661366238038187
9316162,"Training",0.777713099527672,0.64047307689171,0.589473092293905,0.429874375592553,0.897844552993774,0.808162299653457
9316163,"Validation",0.440370855,0.433029324,0.225961188598483,0.467133515539271,0.601168036460876,0.541781167041854
9316166,"Training",0.732062906322623,0.722193072027907,0.856739460210805,0.668516967525452,0.929573833942413,0.858757190686935
9316170,"Validation",0.74666027,0.678878763,0.599102963653126,0.623609282396688,0.244452357292175,0.141157419233893
9316172,"Training",0.49756781230233,0.469682909642506,0.261013497740621,0.382146639906805,0.866421818733215,0.857556341166323
9316177,"Training",-0.0656724136565188,-1.80044937451913,0.675373062879501,-0.619443992253782,0.929989278316498,0.904924700362873
9316184,"Training",0.669778383828563,0.776913710444704,0.296457039006217,0.776393252979844,0.926776647567749,0.934059517784349
9316186,"Validation",0.823933987,0.813746283,0.582039445258904,0.617459537902679,0.872986495494843,0.848341901440649
9316188,"Training",0.466965526615658,0.383522152033302,0.117152246083253,0.576080677539085,0.661137759685516,0.706339305391301
9316190,"Validation",0.639825114,0.633334025,0.270162923021789,0.330388815972626,0.573472261428833,0.562141650365907
9316191,"Validation",0.623085146,0.478663182,0.768086370212327,0.576129925529284,0.756894946098328,0.686958757855318
9316197,"Validation",0.787942871,0.731459717,0.697004954090851,0.702524630884302,0.846028983592987,0.87973546327754
9316199,"Validation",0.688574397,0.832533275,-0.958100618762846,0.0117776938231512,0.526772141456604,0.708002811334374
9316208,"Validation",0.625295529,0.572288526,0.68525780776089,0.752890117919203,0.592792272567749,0.488008469931059
9316210,"Training",0.735432914855906,0.68527079694128,0.764061802941199,0.633825143045638,0.916558563709259,0.905925750191023
9316212,"Validation",0.697627777,0.730365716,0.488931224909897,0.54625129517704,0.7879638671875,0.830165808928241
9316215,"Training",0.674253026011943,0.71857834250382,-0.221726850220729,0.518694301293184,0.874331951141357,0.89305552011101
9316216,"Validation",0.833622749,0.859287873,0.0446120432504812,0.266932900718069,0.817132234573364,0.762366769539877
9316220,"Validation",0.809362546,0.799732626,0.606082542597009,0.709070322655451,0.76841127872467,0.83254042441564
9316228,"Validation",0.885434226,0.834251885,0.614360299423772,0.543113153433535,0.837656378746033,0.803635787166849
9316229,"Validation",0.85576613,0.757568156,0.810243116407287,0.787132811337773,0.764844655990601,0.881257876073871
9316231,"Validation",0.832215508,0.84653289,0.618570297879794,0.566693036435683,0.694999933242798,0.707162657644495
9316235,"Training",0.692441410352843,0.733410036433122,0.76719217033084,0.832868997169475,0.937137186527252,0.955105154768122
9316236,"Training",0.800512683337486,0.717983381728664,0.864967140251756,0.771392702370282,0.928345739841461,0.913743880685944
9316238,"Validation",0.750494451,0.687856873,0.484801142837655,0.365723123504507,0.760716795921326,0.720785113010755
9316249,"Training",0.829706149849476,0.591306676552294,0.768571274973151,0.753167989637421,0.743768692016602,0.563032354947025
9316260,"Validation",0.704838127,0.819762853,-2.62133200447565,-0.509055826696054,0.617572903633118,0.605499608708468
9316261,"Validation",0.653087366,0.814704911,-2.04132253511802,-0.220858644220199,0.278597831726074,0.302290472717183
9316264,"Training",0.608892932782791,0.62674908713992,0.00740473482747239,0.68895374888886,0.933416306972504,0.916420130901738
9316265,"Validation",0.74420267,0.825354345,-1.29820035277199,-0.06879959992766,0.620415210723877,0.465339611925887
9316270,"Validation",0.694406109,0.658607124,-0.12536677828102,0.272014578692922,0.855746328830719,0.78624125403735
9316271,"Training",0.732796819548985,0.625612243785433,0.074927626551147,0.638332273085766,0.890714824199677,0.887747129701618
9316273,"Validation",0.098996077,0.287414718,-6.68888602967646,-1.43241470514256,-0.487762451171875,-0.100444361492151
9316284,"Validation",0.714096524,0.55328501,0.126923176041584,0.338544180746451,0.829421877861023,0.717176046656068
9316288,"Validation",0.836247573,0.820811426,0.156637496344053,0.40866533738088,0.678996682167053,0.750865190764656
9316293,"Validation",0.738341328,0.843095827,0.0453952310176213,0.315544803166017,0.785199344158173,0.800153729541916
9316310,"Training",0.714231312172958,0.669917393107508,0.691065362080456,0.673673518020058,0.920801162719727,0.886821143617283
9316315,"Validation",0.641379335,0.508845344,0.772456344580826,0.698220626082844,0.853380560874939,0.768176239320601
9316316,"Training",0.781128299682542,0.73177448076464,0.853720571786998,0.876139592859413,0.94807094335556,0.940515012563126
9316325,"Training",0.800821625787563,0.661528575060064,0.871145141033985,0.82746969814781,0.949735760688782,0.907853280819642
9316337,"Training",0.763582895352938,0.744872580418521,0.810540003201369,0.826450309280012,0.950063586235046,0.923968067707884
9316342,"Validation",0.636093851,0.479132556,0.736026456974011,0.582984284654165,0.726863265037537,0.565391370769498
9316343,"Validation",0.783598195,0.756386275,0.564478057735365,0.41630883740354,0.563873052597046,0.386544294933507
9316350,"Validation",0.737215022,0.60417013,0.77460540882325,0.661155250707768,0.779894351959229,0.743891844232373
9316352,"Validation",0.667886986,0.604445421,0.512440913137044,0.457231461253821,0.676749348640442,0.64902350203356
9316354,"Validation",0.695298939,0.785542779,-0.248790188052009,0.179341436466686,0.609219789505005,0.677152661618302
9316355,"Validation",0.639698073,0.519538831,0.617496761774294,0.751339440432251,0.488196432590485,0.33345249863557
9316383,"Validation",0.556003871,0.471115907,0.422630034891183,0.560530373435446,0.617313265800476,0.452510307269685
9316405,"Training",0.860457040825498,0.832319368331905,0.742188496166951,0.832854881578049,0.938862323760986,0.924197981794621
9316407,"Validation",0.788748139,0.869225335,-1.11111236629148,-0.184097165155782,0.641411125659943,0.554431921700744
9316408,"Validation",0.683815516,0.775058057,-0.282714574787508,0.0530969910632948,0.741402745246887,0.692828340579855
9316410,"Validation",0.809092534,0.790186304,0.37751552199164,0.547593410754395,0.578949689865112,0.768580273139121
9316412,"Validation",0.680459381,0.723571333,0.223897241282639,0.348021101310806,0.633670151233673,0.662911103871731
9316421,"Validation",0.768518111,0.642346136,0.759092105891783,0.782800428317735,0.400920331478119,0.281055020780882
9316426,"Validation",0.586692563,0.576919978,0.532358983811646,0.624068803499435,0.738311529159546,0.70629859981403
9316439,"Validation",0.623484465,0.781724202,-0.53028672411571,-0.00143557347982171,0.728704988956451,0.847569166522013
9316441,"Validation",0.64382096,0.683842425,-0.613226040865329,-0.089458242773172,0.821366727352142,0.773900488667845
9316447,"Validation",0.603898791,0.62782447,-0.160572881883949,0.237120753835716,0.66566264629364,0.560857942261494
9316458,"Validation",0.64910176,0.783908542,-0.688742855738322,-0.0528680660346093,-0.254232406616211,0.00388841831984077
9316464,"Training",0.803058739451992,0.604510551494092,0.850800353964952,0.708452273591195,0.854922592639923,0.818524425389892
9316479,"Training",0.750746060856669,0.615487011646441,0.149974983735076,0.656021522820267,0.915264070034027,0.906921266649668
9316480,"Training",0.709685355240379,0.537609377930931,-0.010791813897215,0.656036294280001,0.838579058647156,0.849984568902844
9316483,"Validation",0.774080439,0.865288646,-0.208271494653204,0.232664161527734,0.829917311668396,0.820068866621756
9316494,"Validation",0.598502681,0.571035079,0.187556781719545,0.413987743257896,0.816205859184265,0.841173329413938
9316522,"Training",0.275966735376029,0.462225160812091,0.57585838107069,0.696847977163941,0.878156423568726,0.914244193635121
9316524,"Validation",0.736969962,0.66048572,0.112164989168737,0.362381138082483,0.679638266563416,0.674453535453262
9316529,"Validation",0.806768968,0.66811848,0.803608736809472,0.713075896085766,0.774696052074432,0.872201200277483
9316534,"Validation",0.751717623,0.829971152,-0.207564433456252,0.304918312263161,0.648409605026245,0.82413076377565
